Site,Date,Parameter,DL,RDC,ResultRaw,ResultCalc,ResultCalcLog
TL,2013-06-06,silver_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2013-06-06,strontium_total,NA,DET,58.8,58.8,4.074141855
TL,2013-06-06,thallium_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2013-06-06,titanium_total,NA,DET,2.2,2.2,0.78845736
TL,2013-06-06,uranium_total,NA,DET,0.1,0.1,-2.302585093
TL,2013-06-06,vanadium_total,NA,DET,0.7,0.7,-0.356674944
TL,2013-06-06,zinc_total,5,BDL,5,2.5,0.916290732
TL,2014-03-20,aluminum_dissolved,NA,DET,3.2,3.2,1.16315081
TL,2014-03-20,antimony_dissolved,NA,DET,0.3,0.3,-1.203972804
TL,2014-03-20,arsenic_dissolved,NA,DET,0.3,0.3,-1.203972804
TL,2014-03-20,barium_dissolved,NA,DET,67.2,67.2,4.207673248
TL,2014-03-20,beryllium_dissolved,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-03-20,cadmium_dissolved,0.05,BDL,0.05,0.025,-3.688879454
TL,2014-03-20,cesium_dissolved,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-03-20,chromium_dissolved,NA,DET,0.2,0.2,-1.609437912
TL,2014-03-20,cobalt_dissolved,NA,DET,0.1,0.1,-2.302585093
TL,2014-03-20,copper_dissolved,NA,DET,0.6,0.6,-0.510825624
TL,2014-03-20,iron_dissolved,NA,DET,74,74,4.304065093
TL,2014-03-20,lead_dissolved,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-03-20,lithium_dissolved,NA,DET,8.7,8.7,2.163323026
TL,2014-03-20,manganese_dissolved,NA,DET,59.3,59.3,4.082609306
TL,2014-03-20,mercury_dissolved,0.01,BDL,0.01,0.005,-5.298317367
TL,2014-03-20,molybdenum_dissolved,NA,DET,0.7,0.7,-0.356674944
TL,2014-03-20,nickel_dissolved,NA,DET,0.9,0.9,-0.105360516
TL,2014-03-20,rubidium_dissolved,NA,DET,0.8,0.8,-0.223143551
TL,2014-03-20,selenium_dissolved,0.3,BDL,0.3,0.15,-1.897119985
TL,2014-03-20,silver_dissolved,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-03-20,strontium_dissolved,NA,DET,182,182,5.204006687
TL,2014-03-20,thallium_dissolved,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-03-20,titanium_dissolved,NA,DET,0.2,0.2,-1.609437912
TL,2014-03-20,uranium_dissolved,NA,DET,0.5,0.5,-0.693147181
TL,2014-03-20,vanadium_dissolved,NA,DET,0.1,0.1,-2.302585093
TL,2014-03-20,zinc_dissolved,NA,DET,0.7,0.7,-0.356674944
TL,2014-03-20,aluminum_total,NA,DET,35.7,35.7,3.575150689
TL,2014-03-20,antimony_total,NA,DET,0.3,0.3,-1.203972804
TL,2014-03-20,arsenic_total,NA,DET,1,1,0
TL,2014-03-20,barium_total,NA,DET,69.3,69.3,4.238444906
TL,2014-03-20,beryllium_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-03-20,cadmium_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-03-20,cesium_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-03-20,chromium_total,NA,DET,0.6,0.6,-0.510825624
TL,2014-03-20,cobalt_total,NA,DET,0.2,0.2,-1.609437912
TL,2014-03-20,copper_total,NA,DET,0.8,0.8,-0.223143551
